player_name,cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age
Gautier Larsonneur,2,0.0,0.0,0.0,,1.0,63.6,41.0,27.0
Jordan Lefort,4,0.0,0.03,6.0,47.1,84.0,58.8,110.0,30.0
Gerónimo Rulli,2,0.0,0.0,0.0,,5.0,87.5,37.0,32.0
Lucas Chevalier,2,0.0,0.0,0.0,,3.0,100.0,70.0,22.0
Marcin Bułka,2,0.0,0.0,0.0,0.0,0.0,100.0,62.0,24.0
Yehvann Diouf,2,0.0,0.0,0.0,100.0,3.0,100.0,45.0,24.0
Lucas Perri,2,0.0,0.0,0.0,,1.0,100.0,29.0,26.0
Yahia Fofana,2,0.0,0.0,0.0,100.0,1.0,66.7,36.0,23.0
Marco Bizot,2,0.0,0.0,0.0,,2.0,100.0,34.0,33.0
Donovan Léon,2,0.0,0.06,0.0,100.0,0.0,87.5,33.0,31.0
Andrey Santos,0,0.32,0.09,29.0,48.6,142.0,60.7,188.0,20.0
Valentin Atangana Edoa,0,0.03,0.0,41.0,29.2,106.0,58.0,117.0,18.0
Himad Abdelli,1,0.19,0.03,107.0,47.1,74.0,39.4,193.0,24.0
Mason Greenwood,1,0.67,0.16,126.0,41.9,47.0,53.3,88.0,22.0
Đorđe Petrović,2,0.0,0.0,1.0,100.0,1.0,100.0,58.0,24.0
Zuriko Davitashvili,1,0.29,0.26,95.0,37.4,36.0,23.0,117.0,23.0
Gautier Lloris,4,0.07,0.03,13.0,57.1,102.0,65.3,100.0,29.0
Matthis Abline,1,0.29,0.07,75.0,40.7,15.0,45.7,83.0,21.0
Bafodé Diakité,4,0.13,0.03,15.0,100.0,58.0,72.6,139.0,23.0
Adrien Truffert,3,0.07,0.07,69.0,36.4,88.0,50.0,139.0,22.0
Moussa Niakhate,4,0.0,0.0,34.0,100.0,72.0,64.2,119.0,28.0
Guela Doué,0,0.03,0.07,51.0,65.9,99.0,61.1,162.0,21.0
Alexsandro Ribeiro,4,0.03,0.03,25.0,62.5,59.0,71.9,175.0,24.0
Benjamin Lecomte,2,0.0,0.0,0.0,,0.0,100.0,35.0,33.0
Cristian Cásseres Jr.,0,0.03,0.1,31.0,57.9,138.0,58.5,172.0,24.0
Benjamin André,0,0.0,0.1,29.0,40.9,151.0,53.4,189.0,33.0
Gaëtan Perrin,3,0.33,0.37,83.0,47.2,61.0,18.8,124.0,28.0
Junya Ito,3,0.13,0.1,100.0,42.7,58.0,37.8,135.0,31.0
Aron Dønnum,3,0.07,0.07,94.0,45.2,84.0,41.4,171.0,26.0
Kenny Lala,3,0.1,0.07,58.0,62.5,91.0,38.1,154.0,32.0
Florent Hanin,0,0.03,0.07,48.0,47.8,116.0,34.9,132.0,34.0
Pierre Højbjerg,3,0.07,0.14,36.0,29.2,106.0,53.8,171.0,28.0
Mahdi Camara,0,0.17,0.1,58.0,44.6,104.0,35.4,98.0,26.0
Keito Nakamura,1,0.37,0.07,90.0,38.5,37.0,33.3,116.0,24.0
Jubal,4,0.2,0.0,1.0,75.0,85.0,69.2,90.0,30.0
Ismaël Doukouré,4,0.03,0.03,20.0,76.5,65.0,61.9,103.0,21.0
Léo Pétrot,0,0.0,0.1,28.0,50.0,104.0,51.9,115.0,27.0
Jean-Charles Castelletto,4,0.0,0.0,21.0,100.0,59.0,65.4,91.0,29.0
Adrien Thomasson,3,0.1,0.24,30.0,43.3,109.0,27.4,206.0,30.0
Luis Henrique,3,0.24,0.24,84.0,56.0,26.0,0.0,116.0,22.0
Moses Simon,1,0.28,0.34,147.0,44.2,32.0,20.8,118.0,29.0
Charlie Cresswell,4,0.1,0.03,8.0,27.3,63.0,69.0,103.0,21.0
Arnaud Kalimuendo,1,0.59,0.1,50.0,33.9,23.0,27.2,63.0,22.0
Pierre Ekwah Elimby,0,0.03,0.0,20.0,56.3,101.0,69.8,154.0,22.0
Diego Moreira,3,0.07,0.25,99.0,45.6,79.0,48.2,139.0,19.0
Evann Guessand,1,0.42,0.28,87.0,47.6,59.0,41.9,98.0,23.0
Jonathan David,1,0.56,0.18,40.0,47.6,31.0,27.6,66.0,24.0
Guillaume Restes,2,0.0,0.04,0.0,0.0,3.0,0.0,50.0,19.0
Facundo Medina,4,0.0,0.04,46.0,37.0,76.0,55.6,165.0,25.0
Sergio Akieme,0,0.07,0.11,55.0,41.9,51.0,42.2,109.0,26.0
Dilane Bakwa,1,0.22,0.29,107.0,39.4,41.0,57.9,92.0,21.0
Mark McKenzie,4,0.04,0.04,10.0,44.4,74.0,56.4,128.0,25.0
Ludovic Ajorque,1,0.47,0.07,10.0,47.1,32.0,52.4,62.0,30.0
Clément Akpa,4,0.0,0.04,27.0,34.8,97.0,55.1,116.0,22.0
Adrien Rabiot,3,0.33,0.14,79.0,52.0,70.0,56.7,124.0,29.0
Loïc Nego,0,0.0,0.0,64.0,53.1,87.0,55.9,111.0,33.0
Michael Amir Murillo,0,0.04,0.11,43.0,51.9,67.0,71.2,138.0,28.0
Hicham Boudaoui,0,0.07,0.11,54.0,38.5,98.0,32.0,175.0,24.0
Brendan Chardonnet,4,0.04,0.0,7.0,,74.0,60.4,91.0,29.0
Maghnes Akliouche,1,0.19,0.37,127.0,48.5,66.0,17.9,131.0,22.0
Vincent Sierro,0,0.19,0.04,15.0,42.9,60.0,47.0,125.0,28.0
Thilo Kehrer,4,0.15,0.0,16.0,33.3,73.0,61.4,132.0,27.0
Clinton Mata,4,0.0,0.15,20.0,46.7,87.0,55.3,129.0,31.0
Mamadou Sarr,4,0.0,0.04,7.0,52.6,62.0,50.8,98.0,18.0
Téji Savanier,3,0.08,0.19,26.0,40.3,44.0,43.9,117.0,32.0
Lorenz Assignon,3,0.11,0.15,98.0,36.4,74.0,63.3,110.0,24.0
Habib Diarra,1,0.15,0.19,61.0,26.5,35.0,42.9,90.0,20.0
Pedro Chirivella,0,0.0,0.08,16.0,42.9,63.0,41.7,116.0,27.0
Elisha Owusu,0,0.04,0.12,8.0,39.1,115.0,38.1,154.0,26.0
Yann Gboho,1,0.19,0.15,116.0,41.0,37.0,15.6,107.0,23.0
Corentin Tolisso,3,0.27,0.15,31.0,52.4,79.0,48.2,128.0,29.0
Abdoulaye Touré,0,0.39,0.04,17.0,51.5,95.0,61.2,160.0,30.0
Hugo Magnetti,0,0.04,0.0,21.0,37.5,70.0,50.0,111.0,26.0
Etienne Youte Kinkoue,4,0.0,0.0,12.0,100.0,48.0,55.3,65.0,22.0
Douglas,0,0.16,0.08,14.0,60.0,101.0,39.7,111.0,27.0
Mickael Nade,4,0.04,0.08,17.0,37.5,92.0,75.7,113.0,25.0
Jonathan Clauss,3,0.12,0.31,53.0,39.3,100.0,59.3,114.0,31.0
Lassine Sinayoko,1,0.2,0.31,53.0,38.4,46.0,29.7,76.0,24.0
Ludovic Blas,3,0.24,0.31,83.0,37.9,51.0,22.9,88.0,26.0
Emanuel Emegha,1,0.55,0.12,37.0,25.0,7.0,40.0,60.0,21.0
Gideon Mensah,0,0.0,0.04,52.0,53.7,118.0,45.7,172.0,26.0
Leonardo Balerdi,4,0.0,0.0,13.0,68.8,92.0,65.0,161.0,25.0
Takumi Minamino,1,0.24,0.12,51.0,30.0,43.0,38.8,88.0,29.0
Andy Diouf,1,0.04,0.08,82.0,49.4,52.0,36.7,154.0,21.0
Moïse Bombito,4,0.0,0.0,27.0,70.6,55.0,48.0,97.0,24.0
Cédric Kipré,4,0.0,0.04,16.0,83.3,74.0,63.1,73.0,27.0
Bradley Barcola,1,0.58,0.41,137.0,24.8,46.0,66.7,67.0,21.0
Kelvin Amian,0,0.04,0.0,32.0,59.1,68.0,50.0,54.0,26.0
Gabriel Suazo,3,0.0,0.25,42.0,64.1,95.0,40.6,125.0,26.0
Denis Zakaria,0,0.25,0.17,27.0,58.3,75.0,60.0,165.0,27.0
Modibo Sagnan,4,0.08,0.0,13.0,65.0,86.0,48.7,90.0,25.0
Willian Pacho,4,0.0,0.04,3.0,28.6,96.0,52.7,119.0,22.0
Dennis Appiah,0,0.0,0.04,51.0,46.5,100.0,46.6,90.0,32.0
Ki-Jana Hoever,0,0.04,0.08,59.0,25.7,72.0,55.8,91.0,22.0
Jonathan Gradit,4,0.0,0.0,18.0,33.3,69.0,59.3,73.0,31.0
Sebastian Nanasi,3,0.26,0.17,53.0,47.5,27.0,21.4,71.0,22.0
Djibril Sidibé,0,0.0,0.13,16.0,57.9,85.0,63.0,99.0,32.0
Yassine Kechta,0,0.09,0.0,44.0,37.1,86.0,27.0,113.0,22.0
Wilfried Singo,4,0.04,0.09,35.0,46.2,80.0,63.8,138.0,23.0
Hamed Junior Traorè,1,0.43,0.09,66.0,34.7,49.0,37.5,100.0,24.0
Gianluigi Donnarumma,2,0.0,0.0,0.0,,1.0,100.0,40.0,25.0
Azor Matusiwa,0,0.04,0.13,19.0,77.3,98.0,60.9,134.0,26.0
Achraf Hakimi,3,0.17,0.26,93.0,50.0,79.0,42.9,136.0,25.0
Vanderson,3,0.04,0.13,57.0,50.0,115.0,46.8,153.0,23.0
Lamine Camara,3,0.09,0.31,25.0,48.0,97.0,50.0,153.0,20.0
Alexandre Lacazette,1,0.66,0.09,24.0,45.2,21.0,33.3,28.0,33.0
Nicolas Cozza,0,0.04,0.0,25.0,25.0,84.0,48.4,62.0,25.0
Warren Zaïre-Emery,3,0.04,0.09,49.0,54.1,74.0,39.1,136.0,18.0
Johann Lepenant,0,0.09,0.04,25.0,50.0,86.0,52.6,89.0,21.0
Carlens Arcus,0,0.0,0.04,39.0,44.4,79.0,55.4,81.0,28.0
Vitinha,3,0.22,0.04,53.0,67.5,57.0,16.7,144.0,24.0
Rayan Cherki,1,0.35,0.49,106.0,49.5,22.0,33.3,83.0,20.0
Geoffrey Kondogbia,4,0.0,0.0,20.0,66.7,82.0,64.3,108.0,31.0
Nicolas Pallois,4,0.0,0.09,6.0,42.9,89.0,55.6,96.0,36.0
Dylan Batubinsika,4,0.04,0.0,11.0,66.7,65.0,72.6,76.0,28.0
Lucas Beraldo,4,0.04,0.0,9.0,100.0,59.0,68.2,115.0,20.0
Nemanja Matić,0,0.0,0.04,35.0,61.5,60.0,53.6,125.0,35.0
Josué Casimir,1,0.18,0.18,71.0,45.8,44.0,28.1,83.0,22.0
Ainsley Maitland-Niles,3,0.05,0.18,33.0,42.5,96.0,51.7,89.0,26.0
Aurélio Buta,0,0.0,0.05,28.0,40.9,59.0,44.4,69.0,27.0
Dante,4,0.0,0.0,18.0,40.0,66.0,66.1,112.0,40.0
Jean-Eudes Aholou,0,0.09,0.0,15.0,42.9,89.0,62.3,100.0,30.0
Sinaly Diomande,4,0.14,0.09,8.0,57.1,69.0,56.0,86.0,23.0
Melvin Bard,3,0.09,0.05,53.0,44.9,82.0,54.5,124.0,23.0
Youssouf Ndayishimiye,4,0.14,0.0,17.0,75.0,61.0,56.9,114.0,25.0
Caio Henrique Oliveira Silva,3,0.0,0.28,57.0,73.7,59.0,44.8,110.0,27.0
Thomas Meunier,3,0.09,0.0,64.0,50.0,87.0,63.5,88.0,32.0
Fabián Ruiz Peña,3,0.19,0.23,47.0,70.0,53.0,38.5,135.0,28.0
Issa Soumaré,1,0.24,0.19,61.0,28.1,41.0,60.0,98.0,23.0
Nicolás Tagliafico,3,0.14,0.05,31.0,12.5,93.0,49.0,102.0,31.0
Zakaria Aboukhlal,1,0.33,0.09,34.0,30.2,28.0,36.7,61.0,24.0
Enzo Tchato,0,0.0,0.0,44.0,42.9,70.0,61.3,60.0,21.0
Farid El Melali,3,0.1,0.14,62.0,43.7,44.0,22.2,100.0,27.0
Joris Chotard,0,0.05,0.0,20.0,50.0,58.0,59.3,90.0,22.0
Lucas Stassin,1,0.57,0.19,26.0,41.7,19.0,34.1,34.0,19.0
João Neves,3,0.15,0.39,35.0,53.3,86.0,63.6,123.0,19.0
Breel Embolo,1,0.29,0.2,22.0,33.3,25.0,50.0,58.0,27.0
Gaëtan Laborde,1,0.54,0.2,30.0,48.6,25.0,50.5,49.0,30.0
Deiver Machado,3,0.05,0.2,42.0,48.9,52.0,50.0,89.0,30.0
Becir Omeragic,4,0.0,0.0,21.0,78.6,45.0,37.0,75.0,22.0
Florian Sotoca,1,0.05,0.05,44.0,41.0,36.0,62.3,79.0,33.0
Haris Belkebla,0,0.0,0.05,8.0,40.9,91.0,27.6,90.0,30.0
Gabriel Gudmundsson,3,0.1,0.0,71.0,39.2,53.0,60.0,83.0,25.0
Félix Lemaréchal,1,0.2,0.15,35.0,50.0,49.0,35.9,62.0,20.0
Pablo Rosario,0,0.15,0.05,17.0,52.9,61.0,60.0,60.0,27.0
Jordan Ferri,0,0.0,0.1,19.0,32.1,51.0,46.4,132.0,32.0
Benjamin Bouchouari,0,0.05,0.0,48.0,50.9,50.0,26.1,119.0,22.0
Hákon Arnar Haraldsson,3,0.26,0.15,52.0,55.1,44.0,12.5,71.0,21.0
Jim Allevinah,1,0.05,0.15,57.0,31.3,31.0,29.4,88.0,29.0
Eliesse Ben Seghir,1,0.31,0.15,85.0,36.5,44.0,37.1,86.0,19.0
Aïssa Mandi,4,0.0,0.0,12.0,75.0,46.0,38.9,67.0,32.0
Ousmane Dembélé,1,1.09,0.31,127.0,44.2,20.0,40.0,39.0,27.0
Désiré Doué,1,0.31,0.31,97.0,44.2,61.0,44.4,93.0,19.0
Marquinhos,4,0.1,0.0,29.0,75.0,41.0,65.3,103.0,30.0
Philipp Köhn,2,0.0,0.0,0.0,,0.0,100.0,37.0,26.0
Abdoulaye Niakhate Ndiaye,4,0.05,0.0,5.0,25.0,60.0,56.8,72.0,22.0
Joseph Okumu,4,0.05,0.0,18.0,77.8,55.0,63.6,94.0,27.0
Marshall Munetsi,1,0.21,0.11,8.0,50.0,53.0,46.1,72.0,28.0
Rabby Nzingoula,0,0.05,0.0,25.0,48.1,93.0,45.9,99.0,18.0
Hans Hateboer,4,0.0,0.0,28.0,60.0,60.0,63.6,62.0,30.0
Massadio Haïdara,0,0.0,0.0,44.0,53.6,53.0,67.6,54.0,31.0
Nuno Mendes,3,0.05,0.16,58.0,58.5,48.0,57.7,108.0,22.0
Joshua King,1,0.32,0.16,39.0,54.7,17.0,40.7,60.0,32.0
Lee Kang-in,1,0.32,0.32,50.0,56.9,28.0,33.3,73.0,23.0
Gabriel Osho,4,0.05,0.0,12.0,57.1,35.0,67.9,52.0,25.0
Esteban Lepaul,1,0.5,0.0,26.0,28.6,15.0,42.7,45.0,24.0
Oumar Diakité,1,0.22,0.06,24.0,35.1,23.0,29.8,59.0,20.0
Mohamed Ali Cho,1,0.17,0.22,81.0,28.6,18.0,32.5,69.0,20.0
Arthur Desmas,2,0.0,0.0,0.0,,0.0,100.0,12.0,30.0
Quentin Merlin,3,0.06,0.17,40.0,21.1,36.0,31.8,69.0,22.0
Malick Fofana,1,0.28,0.23,112.0,40.7,30.0,14.3,63.0,19.0
Neil El Aynaoui,0,0.45,0.06,11.0,23.8,69.0,61.5,90.0,23.0
Duje Ćaleta-Car,4,0.06,0.0,4.0,50.0,37.0,76.5,65.0,27.0
Mathias Pereira Lage,3,0.11,0.4,32.0,35.7,57.0,46.1,77.0,27.0
Anthony Lopes,2,0.0,0.0,0.0,,2.0,66.7,11.0,33.0
Valentin Rongier,3,0.17,0.06,25.0,68.8,83.0,54.2,86.0,29.0
Jordan Veretout,0,0.12,0.0,35.0,55.6,35.0,44.4,88.0,31.0
Brice Samba,2,0.0,0.0,0.0,100.0,1.0,,22.0,30.0
