player_name,positions,equipe,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Gautier Larsonneur,GK,Saint,2,-3.2240245,-0.6317114,2.4321024,-6.857265
Jordan Lefort,DF,Angers,4,-1.4081943,1.8490521,1.1808524,-2.8957095
Gerónimo Rulli,GK,Marseille,2,-3.6507154,0.15706792,2.5095348,-6.01966
Lucas Chevalier,GK,Lille,2,-3.6173348,-0.023356661,2.394339,-6.0194845
Marcin Bułka,GK,Nice,2,-4.0955563,-0.11817341,2.7568488,-6.2482634
Yehvann Diouf,GK,Reims,2,-2.6853054,0.06530269,2.1662679,-6.824047
Lucas Perri,GK,Lyon,2,-3.793842,0.32808968,2.5520382,-6.5977316
Yahia Fofana,GK,Angers,2,-3.0069382,0.36925063,2.2508037,-7.268112
Marco Bizot,GK,Brest,2,-3.1435971,-0.49876374,2.3145306,-6.4998417
Donovan Léon,GK,Auxerre,2,-2.876979,0.0788782,2.160331,-7.1085343
Andrey Santos,MF,Strasbourg,0,1.7369783,1.1273681,0.8421929,-0.375357
Valentin Atangana Edoa,MF,Reims,0,0.97049534,-0.5589836,1.394417,-0.3929784
Himad Abdelli,"MF,FW",Angers,1,1.2986008,-0.026721744,-0.922751,2.0735533
Mason Greenwood,"FW,MF",Marseille,1,2.055946,-1.8785895,-3.5740292,2.8377583
Đorđe Petrović,GK,Strasbourg,2,-2.801868,0.32931876,2.237369,-6.3495326
Zuriko Davitashvili,"FW,MF",Saint,1,1.6438006,-3.2012,-2.3619843,2.1536977
Gautier Lloris,DF,Le Havre,4,-1.4274168,1.9027299,2.0175798,-2.7177856
Matthis Abline,FW,Nantes,1,3.2750373,-3.1061282,-0.21542138,2.1689699
Bafodé Diakité,DF,Lille,4,-1.8816788,4.1429543,0.44385776,-2.2489643
Adrien Truffert,"DF,MF",Rennes,3,-0.8611712,-0.8577839,-0.9564306,1.0199381
Moussa Niakhate,DF,Lyon,4,-1.3171052,3.1718082,0.2735635,-2.1671722
Guela Doué,DF,Strasbourg,0,-1.7764701,1.9844545,-0.10496092,-0.28624526
Alexsandro Ribeiro,DF,Lille,4,-1.95468,3.7660618,-0.61745316,-1.8644767
Benjamin Lecomte,GK,Montpellier,2,-3.073649,-0.59515196,2.1773262,-6.647877
Cristian Cásseres Jr.,MF,Toulouse,0,2.0021563,0.8960732,-0.50712126,0.039430797
Benjamin André,MF,Lille,0,-0.15338077,2.572612,0.34814152,1.1143801
Gaëtan Perrin,"MF,FW",Auxerre,3,1.1417475,-2.571854,-3.313719,1.2707605
Junya Ito,"FW,MF",Reims,3,-0.32146752,-1.9239156,-3.029772,1.5475246
Aron Dønnum,"DF,MF",Toulouse,3,-0.3074373,-1.1299736,-1.4027752,1.221134
Kenny Lala,DF,Brest,3,-1.954713,0.22591148,-1.1241947,-0.07584798
Florent Hanin,DF,Angers,0,-1.8751978,-0.35712254,0.062477857,-0.00045847287
Pierre Højbjerg,MF,Marseille,3,-1.2629043,3.2868955,-2.368095,-0.17002869
Mahdi Camara,"MF,FW",Brest,0,1.3830885,-0.6413842,0.5458277,0.7201897
Keito Nakamura,"FW,MF",Reims,1,2.8085933,-2.535837,-0.7640873,2.002182
Jubal,DF,Auxerre,4,-1.9433097,1.5593218,2.878488,-3.352598
Ismaël Doukouré,"DF,MF",Strasbourg,4,-1.8232265,3.9323232,1.3132304,-2.4867408
Léo Pétrot,DF,Saint,0,-1.8304535,-0.77088857,1.0254375,-0.915354
Jean-Charles Castelletto,"DF,MF",Nantes,4,-1.1043532,1.9932741,1.5483603,-4.084711
Adrien Thomasson,MF,Lens,3,0.2725732,1.0264841,-0.8660265,1.7000821
Luis Henrique,"DF,FW",Marseille,3,1.1641781,-0.84683305,-1.9932443,1.4358653
Moses Simon,"FW,MF",Nantes,1,1.0868758,-3.0517247,-2.6898751,2.4175162
Charlie Cresswell,DF,Toulouse,4,-1.7990693,2.5215094,1.8757479,-2.370243
Arnaud Kalimuendo,"FW,MF",Rennes,1,4.7627077,-3.5581725,-1.1984634,2.5549397
Pierre Ekwah Elimby,MF,Saint,0,0.15345255,0.84299535,0.2722938,-1.3573964
Diego Moreira,"DF,MF",Strasbourg,3,0.3723802,-1.1414665,-1.0015582,1.9131871
Evann Guessand,"FW,MF",Nice,1,2.71721,-2.6585422,-1.6488762,2.7087924
Jonathan David,FW,Lille,1,4.7888093,-3.568845,-1.1953869,2.6836605
Guillaume Restes,GK,Toulouse,2,-4.072253,-0.6774668,2.4642034,-5.773272
Facundo Medina,DF,Lens,4,-1.8261148,1.9454962,-0.97413456,-1.1908897
Sergio Akieme,DF,Reims,0,-0.8790271,-1.269099,0.3086594,-0.3594542
Dilane Bakwa,"MF,DF",Strasbourg,1,1.0645454,-2.0247233,-2.8679898,2.05883
Mark McKenzie,DF,Toulouse,4,-1.7537993,2.0421424,1.7345217,-2.4596584
Ludovic Ajorque,FW,Brest,1,4.090852,-3.817101,0.49781495,1.4619111
Clément Akpa,DF,Auxerre,4,-0.9123387,1.1676761,1.7797741,-1.7458484
Adrien Rabiot,MF,Marseille,3,0.26285896,1.4418832,-1.6401587,1.3141267
Loïc Nego,"DF,FW",Le Havre,0,-1.6255853,-0.9020942,0.5047411,-0.08592621
Michael Amir Murillo,DF,Marseille,0,-1.5465162,1.9945017,-0.4083181,-0.13011234
Hicham Boudaoui,MF,Nice,0,1.1855785,0.12601319,0.2881908,0.90421563
Brendan Chardonnet,DF,Brest,4,-1.4196699,2.0009868,2.1896777,-2.7006245
Maghnes Akliouche,"FW,MF",Monaco,1,1.3722768,-0.81493264,-2.2856524,3.545391
Vincent Sierro,MF,Toulouse,0,0.914014,0.7214122,-1.2080697,-0.27384475
Thilo Kehrer,DF,Monaco,4,-2.092574,4.1191444,0.7283332,-1.8287332
Clinton Mata,DF,Lyon,4,-1.716333,2.4473724,0.028190186,-1.044671
Mamadou Sarr,DF,Strasbourg,4,-2.1829016,2.9686384,0.73706055,-2.819455
Téji Savanier,MF,Montpellier,3,0.08572229,-0.5786293,-3.0843945,-0.45551363
Lorenz Assignon,"DF,MF",Rennes,3,-0.080434926,-0.8896664,-0.8541892,1.7466917
Habib Diarra,"MF,FW",Strasbourg,1,1.5464776,-1.294329,-0.8534799,0.45903417
Pedro Chirivella,MF,Nantes,0,-0.31781512,1.5759283,-0.7155653,-1.2363056
Elisha Owusu,MF,Auxerre,0,0.80306536,-0.17813683,1.8033073,-0.5611551
Yann Gboho,"MF,FW",Toulouse,1,1.8764807,-2.31539,-1.5219257,2.8638027
Corentin Tolisso,MF,Lyon,3,0.11704033,1.620054,-1.5345014,1.2576946
Abdoulaye Touré,MF,Le Havre,0,2.3110173,-0.130106,0.124455474,-1.5515858
Hugo Magnetti,MF,Brest,0,0.40631387,0.06757218,1.0341682,-0.84619695
Etienne Youte Kinkoue,DF,Le Havre,4,-1.0424132,1.9830736,1.4429148,-3.9446905
Douglas,MF,Nantes,0,1.0543473,0.8188338,0.84555113,-0.520395
Mickael Nade,DF,Saint,4,-1.9923136,2.742218,2.7893257,-2.97356
Jonathan Clauss,"DF,MF",Nice,3,-0.9516772,-0.5607375,-3.12744,0.6845959
Lassine Sinayoko,"FW,MF",Auxerre,1,2.5155618,-3.5902746,-1.4148138,2.6634383
Ludovic Blas,"MF,FW",Rennes,3,1.1978716,-2.6367562,-3.2015376,1.4133519
Emanuel Emegha,FW,Strasbourg,1,4.771928,-2.8654819,0.19836047,3.039412
Gideon Mensah,DF,Auxerre,0,-1.7668236,-0.23417054,0.09490198,0.27011877
Leonardo Balerdi,DF,Marseille,4,-2.3034697,4.0063787,-1.055753,-1.5271289
Takumi Minamino,"MF,FW",Monaco,1,2.3914168,-1.7126018,-0.34166798,2.7439325
Andy Diouf,MF,Lens,1,1.2559677,-0.5620374,-0.7048108,2.1283965
Moïse Bombito,DF,Nice,4,-1.438598,3.0550659,0.54794914,-2.9039738
Cédric Kipré,DF,Reims,4,-1.1701518,2.0899806,0.93183273,-3.1002107
Bradley Barcola,FW,Paris S,1,1.8643911,-1.3630487,-2.9620252,3.8544297
Kelvin Amian,DF,Nantes,0,-0.9666009,-1.5266227,0.9404956,-0.40987557
Gabriel Suazo,DF,Toulouse,3,-1.2347298,-0.31508324,-1.7829639,0.7835953
Denis Zakaria,MF,Monaco,0,2.0928178,1.5758417,0.7707573,-0.49852157
Modibo Sagnan,DF,Montpellier,4,-1.04471,1.4781984,2.3146272,-2.5625732
Willian Pacho,DF,Paris S,4,-2.6457105,3.7409322,-0.22905603,-1.4117713
Dennis Appiah,DF,Saint,0,-2.1578443,-0.7283313,0.693588,-0.43626186
Ki-Jana Hoever,DF,Auxerre,0,-1.7732656,-0.7849864,0.0054374784,0.9130307
Jonathan Gradit,DF,Lens,4,-1.4995849,2.214141,0.7657954,-1.6589459
Sebastian Nanasi,"MF,FW",Strasbourg,3,1.7199929,-1.5912254,-2.810916,1.0182626
Djibril Sidibé,DF,Toulouse,0,-1.5465152,0.6010809,-0.16148835,0.019124862
Yassine Kechta,"MF,FW",Le Havre,0,1.1318859,-1.1401669,1.2365407,0.359199
Wilfried Singo,DF,Monaco,4,-1.8713862,2.6496387,0.4730521,-1.2535086
Hamed Junior Traorè,MF,Auxerre,1,2.3715358,-2.4755058,-1.3814727,2.1848643
Gianluigi Donnarumma,GK,Paris S,2,-4.169635,0.36135542,2.4540155,-6.007301
Azor Matusiwa,MF,Rennes,0,1.23486,1.2765688,0.9395175,-0.31547004
Achraf Hakimi,DF,Paris S,3,-0.92304176,2.7443237,-2.6229897,0.5816833
Vanderson,DF,Monaco,3,-2.0114362,0.3330042,-0.35033733,1.6075231
Lamine Camara,MF,Monaco,3,-0.87381554,-0.094467804,-3.3966806,0.5928292
Alexandre Lacazette,FW,Lyon,1,4.9544554,-3.5994985,-1.0822995,2.7906291
Nicolas Cozza,"DF,MF",Nantes,0,-0.74336773,-1.4271668,1.3427886,-0.30152163
Warren Zaïre-Emery,"MF,DF",Paris S,3,-0.68033403,2.7369533,-1.6978424,0.11435961
Johann Lepenant,MF,Nantes,0,0.90707755,-0.44537118,1.2472843,0.13041778
Carlens Arcus,DF,Angers,0,-1.4171219,-0.6457622,0.6988779,-0.06476398
Vitinha,MF,Paris S,3,-1.2930702,3.5360343,-2.2735777,-0.33786637
Rayan Cherki,"FW,MF",Lyon,1,0.9793149,-0.42977086,-3.9355013,2.7590015
Geoffrey Kondogbia,"DF,MF",Marseille,4,-1.5651059,3.3028982,-0.49282095,-0.8715653
Nicolas Pallois,DF,Nantes,4,-1.2423724,1.4310172,2.894239,-2.6099472
Dylan Batubinsika,DF,Saint,4,-1.3377823,2.372265,1.720501,-3.8560414
Lucas Beraldo,DF,Paris S,4,-2.0755873,4.0754514,-1.0329838,-1.4651169
Nemanja Matić,MF,Lyon,0,-0.44122913,2.071529,-0.8336585,-0.9405816
Josué Casimir,"FW,MF",Le Havre,1,2.3144948,-3.6300108,-1.252705,2.5124037
Ainsley Maitland-Niles,DF,Lyon,3,-1.4623181,0.4772275,-0.31278667,1.6376487
Aurélio Buta,DF,Reims,0,-1.1569943,-0.7709613,0.55715257,-0.31270167
Dante,DF,Nice,4,-1.8798687,2.4914653,-0.076570004,-1.5507697
Jean-Eudes Aholou,MF,Angers,0,1.0100092,-0.45880535,1.4685174,-0.29783028
Sinaly Diomande,DF,Auxerre,4,-1.171635,2.626239,2.8588393,-2.7284346
Melvin Bard,"DF,MF",Nice,3,-2.0912395,-0.12094932,-0.3279469,1.5802786
Youssouf Ndayishimiye,DF,Nice,4,-1.8464836,3.9669237,0.97188455,-2.1406834
Caio Henrique Oliveira Silva,DF,Monaco,3,-1.3055751,-0.10515313,-2.3029375,0.8746811
Thomas Meunier,DF,Lille,3,-1.7513909,1.3292534,-0.7726303,0.9582944
Fabián Ruiz Peña,MF,Paris S,3,-0.72133213,2.7768965,-2.4481921,0.5036732
Issa Soumaré,"FW,MF",Le Havre,1,2.8189797,-3.4045374,-0.4842224,1.6184663
Nicolás Tagliafico,DF,Lyon,3,-1.2900721,1.9330269,-0.41886002,1.2324182
Zakaria Aboukhlal,"MF,FW",Toulouse,1,3.5942845,-3.8834374,-0.30947307,2.7991378
Enzo Tchato,DF,Montpellier,0,-1.5987592,-1.1328468,0.70872945,-0.3862576
Farid El Melali,FW,Angers,3,1.8187977,-3.8487983,-2.750284,2.1112108
Joris Chotard,MF,Montpellier,0,0.20432864,-0.07696715,0.99173903,-1.6302091
Lucas Stassin,FW,Saint,1,3.8704402,-2.9985204,-0.49748656,1.3400214
João Neves,"MF,DF",Paris S,3,-0.68462765,2.8015876,-2.3924983,0.5286802
Breel Embolo,"FW,MF",Monaco,1,3.6650605,-2.9283557,-0.32948315,3.5061483
Gaëtan Laborde,FW,Nice,1,4.6950216,-3.6205797,-1.0813115,2.8022592
Deiver Machado,"DF,MF",Lens,3,-0.83986276,-1.4691329,-0.25152683,1.1946073
Becir Omeragic,DF,Montpellier,4,-0.61442864,1.4210937,1.7521268,-3.7724755
Florian Sotoca,"FW,MF",Lens,1,1.4918596,-0.8385202,-0.20724098,2.7682426
Haris Belkebla,MF,Angers,0,0.22624429,0.54511786,1.5551106,-0.504348
Gabriel Gudmundsson,DF,Lille,3,-0.84004825,-0.5430816,-0.60655844,0.8902973
Félix Lemaréchal,"MF,FW",Strasbourg,1,1.6615237,-1.0629979,-0.22157094,1.4174659
Pablo Rosario,"MF,DF",Nice,0,1.6799772,0.2323081,0.84567225,-0.9780366
Jordan Ferri,MF,Montpellier,0,-0.08760923,1.1105521,-1.1337023,-1.6940057
Benjamin Bouchouari,MF,Saint,0,0.39297715,0.16858551,-0.49685496,-1.4754195
Hákon Arnar Haraldsson,"MF,FW",Lille,3,0.7888242,-1.2927736,-2.418769,1.2647096
Jim Allevinah,FW,Angers,1,2.251729,-3.280859,-0.092796825,2.45022
Eliesse Ben Seghir,"MF,FW",Monaco,1,1.1938647,-0.8767858,-2.757531,2.6611104
Aïssa Mandi,DF,Lille,4,-0.7970053,2.2614164,-0.31213498,-1.7540014
Ousmane Dembélé,FW,Paris S,1,1.7673005,-1.1647147,-3.7778385,3.6475608
Désiré Doué,"FW,MF",Paris S,1,2.1687422,-0.41934586,-3.2753031,3.7033503
Marquinhos,DF,Paris S,4,-1.7735147,4.1178446,-1.40544,-1.3116009
Philipp Köhn,GK,Monaco,2,-3.9596393,0.15758009,2.4253004,-6.376005
Abdoulaye Niakhate Ndiaye,DF,Brest,4,-1.9214083,1.7684027,2.276093,-2.1735637
Joseph Okumu,DF,Reims,4,-1.6896232,2.3667789,-0.50016207,-3.357465
Marshall Munetsi,MF,Reims,1,2.9928775,-3.0735881,1.0428398,1.3672034
Rabby Nzingoula,MF,Montpellier,0,1.0298842,-0.91566163,2.0089042,0.47345325
Hans Hateboer,DF,Rennes,4,-1.3003993,1.9066277,0.1211989,-1.0684701
Massadio Haïdara,DF,Brest,0,-1.9537393,-1.5956188,0.7609731,0.8148116
Nuno Mendes,DF,Paris S,3,-0.8859526,2.6608706,-2.552496,0.57031965
Joshua King,"FW,MF",Toulouse,1,3.4079347,-3.3659346,-0.077741854,2.4151864
Lee Kang-in,"FW,MF",Paris S,1,0.8055485,-0.24512073,-3.8823998,2.5213938
Gabriel Osho,DF,Auxerre,4,-1.8691677,1.4969604,1.912431,-3.2655048
Esteban Lepaul,FW,Angers,1,3.7896411,-3.2086716,0.2967772,1.2827624
Oumar Diakité,FW,Reims,1,3.1893642,-3.0030136,0.25923774,2.2757254
Mohamed Ali Cho,"FW,MF",Nice,1,1.9290676,-2.0966494,-1.863855,2.873001
Arthur Desmas,GK,Le Havre,2,-3.641274,-0.38353726,2.3299484,-6.8027725
Quentin Merlin,DF,Marseille,3,-1.0545249,0.34589058,-2.0740683,1.4373777
Malick Fofana,FW,Lyon,1,1.8542696,-1.9371169,-2.1440399,3.2627766
Neil El Aynaoui,MF,Lens,0,1.2384778,0.6687239,-1.6594677,-0.41999978
Duje Ćaleta-Car,DF,Lyon,4,-2.336742,2.561751,1.2763052,-2.7184265
Mathias Pereira Lage,"FW,MF",Brest,3,1.3507807,-3.2917771,-2.8948,0.9182343
Anthony Lopes,GK,Nantes,2,-3.1481926,-0.63892806,2.0078323,-6.2407036
Valentin Rongier,"MF,DF",Marseille,3,-1.113668,3.24012,-0.84128577,0.2759284
