player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Jordan Lefort,Angers,DF,-0.022345955,0.77990776,-0.5624884,4.607697,0
Andrey Santos,Strasbourg,MF,1.6128367,0.38500437,-0.7439238,0.6202952,0
Valentin Atangana Edoa,Reims,MF,0.8273682,-1.2623512,-0.6063252,0.70098644,0
Himad Abdelli,Angers,"MF,FW",-0.6747267,0.057239056,-1.1787231,-1.6838815,-1
Mason Greenwood,Marseille,"FW,MF",0.5571542,1.2557135,1.2797319,-4.334605,3
Zuriko Davitashvili,Saint,"FW,MF",0.3949421,-0.648227,1.7670913,-3.84055,-1
Gautier Lloris,Le Havre,DF,-0.38659355,0.24987164,-0.19169778,4.739288,0
Matthis Abline,Nantes,FW,1.4260929,-2.0788872,-0.21288541,-3.964378,1
Bafodé Diakité,Lille,DF,-1.5556669,2.4290931,-0.9225437,4.5516763,0
Adrien Truffert,Rennes,"DF,MF",-1.0468806,0.10018454,0.98909116,-0.40732887,2
Moussa Niakhate,Lyon,DF,-0.8025732,1.9974365,-0.9994786,4.075985,0
Guela Doué,Strasbourg,DF,-1.2861658,1.7847621,0.025043994,2.2749724,0
Alexsandro Ribeiro,Lille,DF,-1.0094671,3.2991865,-0.71817386,3.9175982,0
Cristian Cásseres Jr.,Toulouse,MF,1.198851,0.8873134,0.11072366,-0.0015969595,-1
Benjamin André,Lille,MF,0.72927713,1.9698447,-2.3669863,0.34731677,-1
Gaëtan Perrin,Auxerre,"MF,FW",0.6638172,0.35360947,2.5163763,-2.9986594,-1
Junya Ito,Reims,"FW,MF",-0.46122062,0.7971247,2.5396647,-2.1678813,-1
Aron Dønnum,Toulouse,"DF,MF",-0.8208918,0.15780029,1.163579,-1.0907433,-1
Kenny Lala,Brest,DF,-0.980132,1.0705087,1.4842739,1.1821879,-1
Florent Hanin,Angers,DF,-1.3895128,-0.09783755,0.97277766,1.2947857,2
Pierre Højbjerg,Marseille,MF,-0.8105482,4.162647,-0.26517132,1.1525291,-1
Mahdi Camara,Brest,"MF,FW",0.77019423,-0.6791303,-0.5471323,-0.6527392,0
Keito Nakamura,Reims,"FW,MF",1.1524936,-1.288235,0.074056566,-3.5399723,1
Jubal,Auxerre,DF,-0.9322759,-0.5666821,-0.7072506,5.3163004,0
Ismaël Doukouré,Strasbourg,"DF,MF",-1.5923616,1.5098408,-0.82253754,4.8169026,0
Léo Pétrot,Saint,DF,-1.0283688,-1.1110089,0.9234595,2.012868,2
Jean-Charles Castelletto,Nantes,"DF,MF",-0.03254521,0.46816856,-1.535742,5.245475,0
Adrien Thomasson,Lens,MF,0.056004494,1.5920087,-0.62026936,-0.92291725,-1
Luis Henrique,Marseille,"DF,FW",-1.0139413,0.6245604,0.70151323,-2.5440094,3
Moses Simon,Nantes,"FW,MF",-0.1366619,-0.26363304,2.0457015,-3.8324645,-1
Charlie Cresswell,Toulouse,DF,-0.4487272,0.94431907,0.38135773,4.873782,0
Arnaud Kalimuendo,Rennes,"FW,MF",2.398198,-1.5805094,-0.019442722,-5.2952695,1
Pierre Ekwah Elimby,Saint,MF,0.38378942,0.44118717,-0.71256405,2.0702555,0
Diego Moreira,Strasbourg,"DF,MF",-0.8260934,-0.019091804,0.32541567,-1.7541049,-1
Evann Guessand,Nice,"FW,MF",0.7324152,-0.74396896,0.47281012,-4.310884,-1
Jonathan David,Lille,FW,2.347223,-1.5644702,-0.07359442,-5.4141774,1
Facundo Medina,Lens,DF,-0.3190166,2.6753523,0.10548074,2.3605604,0
Sergio Akieme,Reims,DF,-0.73683804,-1.262059,0.5350821,0.8213658,2
Dilane Bakwa,Strasbourg,"MF,DF",0.057606682,0.5820521,1.7199653,-3.2316632,-1
Mark McKenzie,Toulouse,DF,-0.7050093,0.65133524,-0.25141597,4.4283385,0
Ludovic Ajorque,Brest,FW,2.391559,-3.1370652,-0.27060664,-3.9225519,1
Clément Akpa,Auxerre,DF,-0.053029064,-0.06699892,0.2119578,3.5818377,0
Adrien Rabiot,Marseille,MF,-0.66575366,1.9953645,-0.6014429,-0.6554664,-1
Loïc Nego,Le Havre,"DF,FW",-1.3154958,-0.8270714,0.8333342,1.1907729,2
Michael Amir Murillo,Marseille,DF,-1.1958379,1.9647565,-0.07328716,1.858684,0
Hicham Boudaoui,Nice,MF,0.5442947,0.09114318,-0.90603673,-0.45928645,0
Brendan Chardonnet,Brest,DF,-0.22468428,0.23577471,0.056039196,4.827484,0
Maghnes Akliouche,Monaco,"FW,MF",-0.29330233,1.3285885,-0.07539593,-3.6455736,3
Vincent Sierro,Toulouse,MF,0.6120116,1.214736,0.46859202,0.629654,-1
Thilo Kehrer,Monaco,DF,-1.8007039,2.35304,-0.40076685,4.407571,0
Clinton Mata,Lyon,DF,-0.98428774,2.0110312,-0.20512578,3.048672,0
Mamadou Sarr,Strasbourg,DF,-0.62870324,1.9356081,-0.48125437,4.979285,0
Téji Savanier,Montpellier,MF,0.8880457,1.3192998,2.6586618,-0.34768224,-1
Lorenz Assignon,Rennes,"DF,MF",-1.0870308,0.11958693,0.33902347,-1.2747974,-1
Habib Diarra,Strasbourg,"MF,FW",0.78546417,-0.4606657,0.60123956,-1.4066502,-1
Pedro Chirivella,Nantes,MF,0.015800504,1.9958857,-1.0427694,1.929812,-1
Elisha Owusu,Auxerre,MF,1.121373,-1.2808827,-0.8374428,0.9860924,0
Yann Gboho,Toulouse,"MF,FW",-0.028375981,-0.5008198,0.45105225,-3.8503942,-1
Corentin Tolisso,Lyon,MF,-0.5088261,2.1772633,-0.5210121,-0.46416888,-1
Abdoulaye Touré,Le Havre,MF,1.7891742,-0.16568322,0.74775743,1.3387789,-1
Hugo Magnetti,Brest,MF,0.50621784,-0.7166429,-0.5605857,1.3744138,0
Etienne Youte Kinkoue,Le Havre,DF,0.3885968,0.5027868,-1.2156821,5.2814016,0
Douglas,Nantes,MF,1.0711367,0.13102612,-0.75792676,0.9986003,0
Mickael Nade,Saint,DF,-1.2794011,0.2253401,0.08795396,5.445537,0
Jonathan Clauss,Nice,"DF,MF",-0.31729674,1.6911763,2.2515013,-0.7118914,-1
Lassine Sinayoko,Auxerre,"FW,MF",0.6455403,-1.4792908,0.9023215,-4.43787,-1
Ludovic Blas,Rennes,"MF,FW",0.5990106,0.256044,2.4038956,-3.1058018,-1
Emanuel Emegha,Strasbourg,FW,2.1248364,-2.0143137,-1.4310594,-4.9315963,-1
Gideon Mensah,Auxerre,DF,-1.5910491,0.011661344,0.8355729,1.117082,2
Leonardo Balerdi,Marseille,DF,-1.3537058,3.8420317,-0.3866144,3.604209,-1
Takumi Minamino,Monaco,"MF,FW",0.41722563,-0.8525905,-0.74205023,-3.4161873,-1
Andy Diouf,Lens,MF,-0.3931909,-0.069068484,-0.7086449,-1.9603345,-1
Moïse Bombito,Nice,DF,-0.39032248,1.8383888,-0.95608133,4.6345053,0
Cédric Kipré,Reims,DF,0.17641172,0.9901959,-0.8467433,4.5964026,0
Bradley Barcola,Paris S,FW,-0.25922975,1.3379778,0.41324896,-4.5965753,3
Kelvin Amian,Nantes,DF,-0.5679452,-1.565245,0.78517336,1.0017443,2
Gabriel Suazo,Toulouse,DF,-0.9132974,1.0472072,1.4915859,-0.1373265,-1
Denis Zakaria,Monaco,MF,2.0135036,0.7892046,-0.7034953,0.67051476,0
Modibo Sagnan,Montpellier,DF,-0.40310743,-0.318371,-0.265507,4.434108,0
Willian Pacho,Paris S,DF,-1.4053819,3.2185867,0.20186067,4.0348597,0
Dennis Appiah,Saint,DF,-1.5877976,-0.7774453,1.1472847,1.7095747,2
Ki-Jana Hoever,Auxerre,DF,-1.8413291,-0.3429471,1.0602517,0.46872538,2
Jonathan Gradit,Lens,DF,-0.38513702,1.446257,0.03399264,3.6001074,0
Sebastian Nanasi,Strasbourg,"MF,FW",1.1183045,0.6273498,1.420571,-2.6389697,-1
Djibril Sidibé,Toulouse,DF,-1.1604053,0.7691657,0.47945672,1.4231894,2
Yassine Kechta,Le Havre,"MF,FW",0.7962171,-1.5012444,-0.44384423,-0.18747185,0
Wilfried Singo,Monaco,DF,-0.77473575,1.9838961,0.18632783,3.4346652,0
Hamed Junior Traorè,Auxerre,MF,0.736439,-0.7960857,0.53135365,-3.585686,-1
Azor Matusiwa,Rennes,MF,1.279508,0.42447087,-1.0637336,0.91863924,0
Achraf Hakimi,Paris S,DF,-0.81064653,3.8794672,-0.004903159,0.21336414,-1
Vanderson,Monaco,DF,-2.5132473,0.88521314,0.8335623,0.4354349,-1
Lamine Camara,Monaco,MF,0.07428326,2.1526432,1.9184269,-0.5004069,-1
Alexandre Lacazette,Lyon,FW,2.4080594,-1.6519209,-0.23344494,-5.567446,1
Nicolas Cozza,Nantes,"DF,MF",-0.2558053,-1.7332689,0.58237463,0.9755582,2
Warren Zaïre-Emery,Paris S,"MF,DF",-0.68410915,3.2361577,-0.44649318,0.85954225,-1
Johann Lepenant,Nantes,MF,0.66953623,-1.1506346,-0.93946284,0.20790374,0
Carlens Arcus,Angers,DF,-1.3675851,-0.79746896,0.45308945,1.2687705,2
Vitinha,Paris S,MF,-0.8371721,4.3254194,-0.33413175,1.3566505,-1
Rayan Cherki,Lyon,"FW,MF",-0.37685242,2.586394,1.2473177,-3.3686886,3
Geoffrey Kondogbia,Marseille,"DF,MF",-1.3669676,2.834705,-0.58047825,2.8697097,0
Nicolas Pallois,Nantes,DF,-0.28301144,-0.65521485,0.22086146,4.858911,0
Dylan Batubinsika,Saint,DF,0.24789631,0.59652317,-0.7240176,5.6265144,0
Lucas Beraldo,Paris S,DF,-1.3307598,3.8210464,-0.614215,3.5993617,-1
Nemanja Matić,Lyon,MF,-0.12922311,2.2486744,-0.89840686,1.8061618,0
Josué Casimir,Le Havre,"FW,MF",0.5086522,-1.6530952,0.96402365,-4.1582284,-1
Ainsley Maitland-Niles,Lyon,DF,-2.2542367,0.88644224,0.43483862,0.24094623,-1
Aurélio Buta,Reims,DF,-1.0807289,-1.0201616,0.3059491,1.1566793,2
Dante,Nice,DF,-0.62900764,2.2930725,-0.10863475,3.4342806,0
Jean-Eudes Aholou,Angers,MF,0.94953746,-1.2196137,-0.6226355,0.6375467,0
Sinaly Diomande,Auxerre,DF,-0.45921817,-0.0039442675,0.3112251,5.5643954,0
Melvin Bard,Nice,"DF,MF",-2.4640756,0.5466834,1.0606118,0.31292188,-1
Youssouf Ndayishimiye,Nice,DF,-1.6287391,1.9087371,-0.6857794,4.5125785,0
Caio Henrique Oliveira Silva,Monaco,DF,-0.9001604,1.6059307,1.7577946,-0.3326445,-1
Thomas Meunier,Lille,DF,-1.8458775,1.7803918,0.41696477,0.8461481,-1
Fabián Ruiz Peña,Paris S,MF,-0.69537944,3.7589557,-0.19543007,0.2836089,-1
Issa Soumaré,Le Havre,"FW,MF",1.373717,-2.217225,0.6073062,-3.5170257,1
Nicolás Tagliafico,Lyon,DF,-1.9091933,1.8717445,-0.28915784,0.76006997,-1
Zakaria Aboukhlal,Toulouse,"MF,FW",1.3136277,-2.4455092,-0.12571195,-4.848543,1
Enzo Tchato,Montpellier,DF,-1.1861342,-1.1704427,0.91250694,1.3446287,2
Farid El Melali,Angers,FW,0.51104325,-0.9009848,2.3681836,-4.2139444,-1
Joris Chotard,Montpellier,MF,0.37150928,-0.8818594,-0.47339773,2.1673973,0
Lucas Stassin,Saint,FW,2.3556528,-1.869856,0.046580564,-3.734237,1
João Neves,Paris S,"MF,DF",-0.69108045,3.7216933,-0.23752157,0.30030605,-1
Breel Embolo,Monaco,"FW,MF",0.97352207,-1.6333092,-0.8631239,-4.919287,1
Gaëtan Laborde,Nice,FW,2.1813288,-1.6883259,-0.1423778,-5.45916,1
Deiver Machado,Lens,"DF,MF",-1.3858118,-0.76220304,0.7819926,-0.56090593,2
Becir Omeragic,Montpellier,DF,0.5532721,-0.14955771,-1.187912,5.0072055,0
Florian Sotoca,Lens,"FW,MF",-0.36498433,-0.39667767,-1.0724843,-2.6315627,-1
Haris Belkebla,Angers,MF,0.6333766,-0.6020429,-1.2889234,1.4472948,0
Gabriel Gudmundsson,Lille,DF,-1.1713566,0.10649985,0.5883154,-0.15618058,2
Félix Lemaréchal,Strasbourg,"MF,FW",0.54175603,-0.5838855,-0.42471513,-1.6852808,0
Pablo Rosario,Nice,"MF,DF",1.3431907,-0.32452542,0.0041991854,1.2001395,0
Jordan Ferri,Montpellier,MF,-0.00078281714,2.1792135,-1.8711493,1.8341007,-1
Benjamin Bouchouari,Saint,MF,-0.67444974,-0.5363901,-1.7244401,-0.6732414,-1
Hákon Arnar Haraldsson,Lille,"MF,FW",-0.0063607236,0.7494991,1.2953732,-2.1878705,3
Jim Allevinah,Angers,FW,0.4395332,-2.1161509,0.053738512,-3.6619916,1
Eliesse Ben Seghir,Monaco,"MF,FW",-0.11346202,1.436931,0.70646703,-3.1970048,3
Aïssa Mandi,Lille,DF,0.032279342,2.0085683,-0.89342725,2.9438562,0
Ousmane Dembélé,Paris S,FW,-0.18448713,2.0328434,0.9572166,-4.5757265,3
Désiré Doué,Paris S,"FW,MF",-0.92685896,2.0734656,0.36666206,-4.3663015,3
Marquinhos,Paris S,DF,-1.1499919,4.0758243,-0.81550235,3.345224,-1
Abdoulaye Niakhate Ndiaye,Brest,DF,-0.7638599,0.14711598,0.43392494,4.537854,0
Joseph Okumu,Reims,DF,0.660143,2.5685866,-1.1237469,4.5302234,-1
Marshall Munetsi,Reims,MF,1.5557187,-2.9343584,-0.5883871,-2.7381496,1
Rabby Nzingoula,Montpellier,MF,0.7662843,-2.0424688,-1.140802,-0.022373509,0
Hans Hateboer,Rennes,DF,-0.49847817,1.5592803,-0.16140437,2.613091,0
Massadio Haïdara,Brest,DF,-2.194187,-1.4916981,0.7138669,0.49988204,2
Nuno Mendes,Paris S,DF,-0.7834273,3.7717888,-0.0018432292,0.21762197,-1
Joshua King,Toulouse,"FW,MF",1.3715574,-2.3136132,-0.29209718,-4.225222,1
Lee Kang-in,Paris S,"FW,MF",-0.35525933,2.6754901,1.2379272,-3.007365,3
Gabriel Osho,Auxerre,DF,-0.7003825,0.13941069,-0.9923601,4.8063736,0
Esteban Lepaul,Angers,FW,2.256181,-2.579215,-0.33568856,-3.4789624,1
Oumar Diakité,Reims,FW,1.2344782,-2.2802753,-0.503995,-3.7541964,1
Mohamed Ali Cho,Nice,"FW,MF",0.061171133,-0.12801594,0.5269196,-3.8991907,3
Quentin Merlin,Marseille,DF,-1.2261328,1.8119017,1.044595,-0.7846612,-1
Malick Fofana,Lyon,FW,-0.2776229,0.23208934,0.5352753,-4.116132,3
Neil El Aynaoui,Lens,MF,0.83768225,1.3568306,0.81886965,0.59312886,-1
Duje Ćaleta-Car,Lyon,DF,-0.44116595,1.5477637,0.041247252,5.1579933,0
Mathias Pereira Lage,Brest,"FW,MF",0.95826507,-0.6587194,2.6625268,-2.9120557,-1
Valentin Rongier,Marseille,"MF,DF",-1.5351342,3.0575442,-0.7604567,1.4575313,-1
Jordan Veretout,Lyon,MF,0.2828716,1.5057839,-0.44628498,1.0386274,0
Pierre Lees-Melou,Brest,MF,0.8793467,2.3923833,-1.2576582,0.9209981,-1
Yassin Belkhdim,Angers,MF,0.9509689,-1.6071241,-0.83708924,0.77670103,0
Frank Magri,Toulouse,"FW,MF",1.5668007,-2.9764407,-0.6687746,-4.003449,1
Nathan Zeze,Nantes,DF,0.23136,0.55451137,-0.43267852,4.2530117,0
