player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Gautier Larsonneur,Saint,GK,27.0,b49729cb,FRA,12.521714,-0.20695247,-3.4172683
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,-10.154138,3.8549864,13.258299
Gerónimo Rulli,Marseille,GK,32.0,625c144a,ARG,13.164499,-0.33693346,-3.5733008
Lucas Chevalier,Lille,GK,22.0,b3d76d84,FRA,12.745781,-0.2915195,-3.7517214
Marcin Bułka,Nice,GK,24.0,db87a2c4,POL,12.5701065,-0.50688493,-3.5363476
Yehvann Diouf,Reims,GK,24.0,eedea60b,SEN,12.612447,0.27560407,-3.1323125
Lucas Perri,Lyon,GK,26.0,5dbd461a,BRA,12.665403,-0.5572013,-3.4238484
Yahia Fofana,Angers,GK,23.0,9d420dad,CIV,12.914591,-0.034656554,-3.0255287
Marco Bizot,Brest,GK,33.0,3d214e5f,NED,12.684555,-0.42190412,-3.1438007
Donovan Léon,Auxerre,GK,31.0,51c83a90,GUF,12.408519,0.39372036,-3.005229
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,-12.4363785,5.8076086,11.517038
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,-12.738587,6.5019693,12.473247
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,-12.528573,6.376143,10.419864
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,-13.269456,7.385381,8.071679
Đorđe Petrović,Strasbourg,GK,24.0,0cf321c8,SRB,12.917268,0.37375206,-3.5769289
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,-13.115903,8.411143,9.219849
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,-9.923623,4.1586094,13.33514
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,-15.037451,8.005634,9.24128
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,-9.930734,3.0090806,11.245036
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,-11.360509,7.1651783,10.138785
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,-10.703469,3.4732594,11.702832
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,-10.675119,4.7319446,11.110384
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,-10.510945,3.2439919,10.954926
Benjamin Lecomte,Montpellier,GK,33.0,2fa2a875,FRA,12.953156,0.24531114,-3.4155383
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,-12.242574,6.1050644,11.074865
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,-12.351112,4.8622537,11.273826
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,-12.179588,7.8045077,8.7665615
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,-11.997557,7.477823,9.099403
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,-11.924562,7.1478915,9.796475
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,-10.942657,6.5342546,10.568545
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,-10.804038,6.706736,11.483107
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,-11.240979,3.99217,9.97662
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,-13.240624,6.5379314,11.073587
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,-14.326918,7.7042017,9.165649
Jubal,Auxerre,DF,30.0,56ae428b,BRA,-9.601773,4.3459616,13.229463
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,-9.432988,3.5590882,12.125864
Léo Pétrot,Saint,DF,27.0,00638016,FRA,-10.636074,6.892563,12.568035
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,-9.672395,3.6217566,13.955643
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,-12.5367,5.459948,10.142602
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,-12.662505,6.764709,9.171144
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,-12.8136425,7.7932153,8.960728
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,-9.581566,3.9573386,12.725414
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,-14.927312,8.29065,8.653897
Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA,-12.045214,5.023524,11.919448
Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL,-12.516272,7.166808,9.9285145
Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV,-13.8010845,8.010463,8.500775
Jonathan David,Lille,FW,24.0,ce50fd99,CAN,-15.207557,8.092288,8.464368
Guillaume Restes,Toulouse,GK,19.0,6b91b999,FRA,12.462198,-0.2701952,-3.7967803
Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG,-11.009622,4.4519963,11.29283
Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP,-11.388635,7.2177887,11.9647455
Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA,-12.58611,7.4368496,8.66964
Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA,-9.977588,4.0161123,12.814535
Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA,-15.837711,8.632443,9.340163
Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV,-10.3435,4.6338825,12.999398
Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA,-12.091606,5.5171638,9.765108
Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN,-11.203171,7.0095243,12.01341
Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN,-11.129068,4.738655,10.502255
Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG,-13.05479,5.700867,11.027558
Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA,-9.459757,4.121624,13.345151
Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA,-13.110965,6.7707787,8.461685
Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI,-12.15138,6.24262,10.202583
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,-9.879676,3.3585463,11.087507
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,-10.808919,4.2299757,11.288196
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,-10.08256,3.0791209,12.08208
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,-11.876916,7.0369825,9.431894
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,-11.451855,6.648748,10.450842
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,-13.050388,6.940521,10.481224
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,-11.769275,4.566901,11.467771
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,-12.928249,6.0486283,12.598913
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,-13.649951,7.4812536,9.022974
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,-12.01691,5.0174193,9.927508
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,-12.577329,6.539563,11.505674
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,-12.218408,5.839177,12.385432
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,-10.066735,3.6139653,13.779527
Douglas,Nantes,MF,27.0,301c287b,BRA,-12.51641,5.4615707,12.020649
Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA,-9.297711,4.0058174,13.036186
Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA,-11.591027,6.8791003,9.20961
Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI,-14.127968,8.450587,8.845483
Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA,-12.450622,7.7771077,9.340545
Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED,-15.358771,7.422098,8.704346
Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA,-10.946472,6.8291974,11.236559
Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG,-10.7151985,3.3218546,10.877248
Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN,-14.11176,7.159924,8.910404
Andy Diouf,Lens,MF,21.0,9b5237b1,FRA,-13.316712,6.6972637,9.695479
Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN,-10.265744,2.933426,12.111823
Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV,-10.265348,3.2324765,13.068432
Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA,-13.454858,6.959623,8.052635
Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA,-11.124203,7.5837226,12.509407
Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI,-11.111818,6.5930853,9.872742
Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI,-12.35808,5.3589435,10.876341
Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI,-9.952225,4.543914,13.336158
Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU,-10.35517,3.4031677,11.0289
Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA,-10.562716,7.175904,11.991884
Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED,-10.784438,7.099115,11.032831
Jonathan Gradit,Lens,DF,31.0,06c48679,FRA,-10.587201,4.097989,12.127355
Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE,-12.53888,7.23439,9.153034
Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA,-11.045432,5.9063325,11.186442
Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR,-13.206484,7.005861,11.825195
Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV,-10.392338,4.0050955,11.544399
Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV,-13.60338,8.010897,9.267862
Gianluigi Donnarumma,Paris S,GK,25.0,08f5afaa,ITA,12.637478,-0.60129046,-3.9502492
Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED,-12.365357,5.2218633,11.989521
Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR,-11.313646,4.8579698,9.664873
Vanderson,Monaco,DF,23.0,ee45fd85,BRA,-10.423218,6.4572587,10.488518
Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN,-11.677593,6.2489295,9.629362
Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA,-15.094434,7.783754,8.1849
Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA,-11.415466,7.2812843,12.51209
Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA,-11.569219,4.2581797,10.198937
Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA,-13.225621,6.40357,11.871244
Carlens Arcus,Angers,DF,28.0,5e837126,HAI,-11.181469,6.6439333,12.167749
Vitinha,Paris S,MF,24.0,3b029691,POR,-11.238721,3.8480253,10.20538
Rayan Cherki,Lyon,"FW,MF",20.0,b34c63a5,FRA,-12.281422,6.9252462,8.275609
Geoffrey Kondogbia,Marseille,"DF,MF",31.0,cce181df,CTA,-10.919687,3.762783,10.714583
Nicolas Pallois,Nantes,DF,36.0,779847d6,FRA,-9.277574,4.5406437,13.497032
Dylan Batubinsika,Saint,DF,28.0,37d39918,COD,-9.912071,3.561591,13.421492
Lucas Beraldo,Paris S,DF,20.0,b8aedf06,BRA,-10.721902,3.2743497,10.494561
Nemanja Matić,Lyon,MF,35.0,eb7822d7,SRB,-11.672913,4.300495,11.059148
Josué Casimir,Le Havre,"FW,MF",22.0,481f76cf,FRA,-14.0136385,8.746708,9.354197
Ainsley Maitland-Niles,Lyon,DF,26.0,e3a5814e,ENG,-10.791955,6.0829277,10.355738
Aurélio Buta,Reims,DF,27.0,b4705807,POR,-11.475644,6.868083,12.238226
Dante,Nice,DF,40.0,fd2bc67d,BRA,-10.412572,3.6503966,11.5987835
Jean-Eudes Aholou,Angers,MF,30.0,48b28bfd,CIV,-12.948217,6.4102316,12.254882
Sinaly Diomande,Auxerre,DF,23.0,6de23ab0,CIV,-9.434457,4.3663306,13.355401
Melvin Bard,Nice,"DF,MF",23.0,1ddbc7ca,FRA,-10.292144,6.2790475,10.91974
Youssouf Ndayishimiye,Nice,DF,25.0,65c55288,BDI,-9.646956,3.515928,11.531684
Caio Henrique Oliveira Silva,Monaco,DF,27.0,30af8b93,BRA,-11.235914,6.2165995,9.261583
Thomas Meunier,Lille,DF,32.0,e162b013,BEL,-10.531531,5.9422107,10.715401
Fabián Ruiz Peña,Paris S,MF,28.0,c0c7ff58,ESP,-12.002764,4.802439,9.705115
Issa Soumaré,Le Havre,"FW,MF",23.0,1d8aa290,SEN,-14.291572,8.431487,9.775577
Nicolás Tagliafico,Lyon,DF,31.0,f0661424,ARG,-11.131964,5.585667,10.687322
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,c2a6033c,MAR,-15.053448,8.140785,8.869565
Enzo Tchato,Montpellier,DF,21.0,7f783431,CMR,-10.628007,7.3905134,12.134726
Farid El Melali,Angers,FW,27.0,d21e361a,ALG,-12.751701,8.266298,9.516268
Joris Chotard,Montpellier,MF,22.0,7909ffa4,FRA,-11.649439,5.603637,12.887156
Lucas Stassin,Saint,FW,19.0,a47d6f3a,BEL,-15.039243,8.637517,8.868716
João Neves,Paris S,"MF,DF",19.0,c2a15a27,POR,-11.823478,4.646946,9.908604
Breel Embolo,Monaco,"FW,MF",27.0,0b4f388a,SUI,-14.891924,7.3833013,8.431599
Gaëtan Laborde,Nice,FW,30.0,7cdda3bf,FRA,-14.913143,7.9277697,8.447132
Deiver Machado,Lens,"DF,MF",30.0,b3f8bdef,COL,-11.5685005,7.2323375,10.862015
Becir Omeragic,Montpellier,DF,22.0,c284d6fb,SUI,-10.072061,4.1894274,14.012008
Florian Sotoca,Lens,"FW,MF",33.0,7a42d0df,FRA,-13.101352,6.5303555,9.705113
Haris Belkebla,Angers,MF,30.0,2b1bed19,ALG,-12.620564,5.6645465,12.513319
Gabriel Gudmundsson,Lille,DF,25.0,d5d22a58,SWE,-11.432429,7.0286493,10.954041
Félix Lemaréchal,Strasbourg,"MF,FW",20.0,8ca9415f,FRA,-13.504995,6.9025455,10.193279
Pablo Rosario,Nice,"MF,DF",27.0,1a6b7ea4,DOM,-12.428606,6.099118,11.946153
Jordan Ferri,Montpellier,MF,32.0,375622c5,FRA,-11.684306,4.8379846,11.696068
Benjamin Bouchouari,Saint,MF,22.0,599f9013,MAR,-12.298426,5.5492554,11.256726
Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,e2ae54db,ISL,-12.073376,7.0277014,8.776663
Jim Allevinah,Angers,FW,29.0,1956b948,GAB,-14.261852,8.00228,9.651869
Eliesse Ben Seghir,Monaco,"MF,FW",19.0,3bd65247,MAR,-12.542228,7.0128455,8.178568
Aïssa Mandi,Lille,DF,32.0,fbd6378b,ALG,-11.228292,4.0451055,11.635744
Ousmane Dembélé,Paris S,FW,27.0,b19db005,FRA,-12.838799,7.275568,7.8819227
Désiré Doué,Paris S,"FW,MF",19.0,9e7483ff,FRA,-12.87351,6.7498975,8.207144
Marquinhos,Paris S,DF,30.0,d5f2f82b,BRA,-10.575394,3.5130835,10.567629
Philipp Köhn,Monaco,GK,26.0,ff74841d,SUI,12.444719,-0.28795063,-3.596312
Abdoulaye Niakhate Ndiaye,Brest,DF,22.0,b8cd2ae4,SEN,-9.737776,4.3282886,12.910846
Joseph Okumu,Reims,DF,27.0,039f1983,KEN,-10.598298,2.9960654,12.673307
Marshall Munetsi,Reims,MF,28.0,2acf0cd7,ZIM,-15.170285,7.993309,10.227651
Rabby Nzingoula,Montpellier,MF,18.0,627c7a3d,FRA,-13.084697,6.908381,12.012773
Hans Hateboer,Rennes,DF,30.0,3b333ac3,NED,-10.912838,4.6539545,11.678665
Massadio Haïdara,Brest,DF,31.0,5167c97e,MLI,-11.233162,7.225947,11.790275
Nuno Mendes,Paris S,DF,22.0,f20e4cc9,POR,-11.612527,4.643818,9.45038
Joshua King,Toulouse,"FW,MF",32.0,43458538,NOR,-14.974698,8.068047,9.205415
Lee Kang-in,Paris S,"FW,MF",23.0,8455ad90,KOR,-11.886503,6.1183186,8.704308
Gabriel Osho,Auxerre,DF,25.0,cd889153,NGA,-9.778472,3.8697517,13.633363
Esteban Lepaul,Angers,FW,24.0,85ce1949,FRA,-15.3510895,8.015947,9.448429
Oumar Diakité,Reims,FW,20.0,44435c8f,CIV,-14.921637,7.8793826,9.500064
Mohamed Ali Cho,Nice,"FW,MF",20.0,f8405304,FRA,-13.719636,7.7204514,8.695834
Arthur Desmas,Le Havre,GK,30.0,e8c5dd4d,FRA,12.662676,-0.032922484,-3.3119552
Quentin Merlin,Marseille,DF,22.0,0bfca6a1,FRA,-11.591697,5.842991,9.239338
Malick Fofana,Lyon,FW,19.0,8236f673,BEL,-13.238725,7.656744,8.424155
Neil El Aynaoui,Lens,MF,23.0,17e1261b,MAR,-11.976362,6.2338758,10.48048
Duje Ćaleta-Car,Lyon,DF,27.0,94f8d10c,CRO,-9.81311,3.2702622,12.60177
Mathias Pereira Lage,Brest,"FW,MF",27.0,8846a40f,POR,-11.975838,7.931565,9.13066
Anthony Lopes,Nantes,GK,33.0,f00de885,POR,12.446055,0.0137306545,-3.5617
Valentin Rongier,Marseille,"MF,DF",29.0,ed45c4a5,FRA,-11.2981415,4.3056965,10.022299
